Subject,Alpha,Final_Heading,Final_Stdev,Trial_Number
15,60,-29.0912,2.0444,11
15,0,2.5605,2.9535,12
15,70,-41.9919,4.6077,13
15,120,59.5647,0.41171,14
15,0,-2.1366,3.7169,15
15,20,6.891,3.2138,16
15,70,-35.0745,1.8061,17
15,40,20.4573,4.8008,18
15,50,-28.0797,7.6805,19
15,30,-5.4195,1.1217,20
15,70,28.2639,7.7487,21
15,80,30.9005,3.7456,22
15,0,-7.5133,5.7148,23
15,50,21.368,4.9344,24
15,80,-26.8601,2.0472,25
15,50,-11.3775,3.5738,26
15,20,-7.9519,2.7566,27
15,40,-10.9949,4.1993,28
15,0,-1.9429,1.4101,29
15,120,-57.7771,4.5474,30
15,30,13.7833,1.3396,31
15,60,-19.1543,4.7983,32
15,40,18.8343,5.1597,33
15,30,2.7538,3.407,34
15,80,42.1046,4.4749,35
15,50,15.3174,10.4504,36
15,20,-1.5855,0.89661,37
15,90,34.9267,2.6714,38
15,40,-22.1754,3.1654,39
15,0,5.9399,3.5247,40
15,20,3.5633,1.361,41
